,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PA,420,409.9,402.1,397.8,411.5,425.3,442.3,416.7,410,382.3,366.5,362.4,355.5,335.1,315,315.4,315.9,313,305.4
RI,297.7,309.3,285.6,285.7,247.5,252.4,230.4,229.1,252.8,254.3,257.4,246.1,253,257.3,219.9,243,239.1,234.2,219.8
SC,828.1,815.2,822.7,806.4,789.9,767.4,771.1,785.7,731,675.2,602.2,596.9,560.5,508.5,497.8,499.5,506.8,506.1,500.8
SD,166.8,154.4,177.5,173.7,171.2,179,264.9,241.9,276.9,218.7,268.9,255.6,323.8,323.2,328.3,384.9,422,429.8,396.4
TN,707.2,744,717.8,691.3,697.6,757.3,762.5,755,722.7,666,612,607.8,638.5,585.8,610.7,618.9,638.5,655,630.4
TX,545.1,571.6,579.7,553.1,540.9,528.1,517.3,510.4,508,491,448.4,408.6,408.6,410.3,406.7,412.7,433.8,437.8,412.9
UT,255.7,233.2,236.7,250.4,233.3,225.4,226.3,239.9,225.3,215.4,213.5,197.1,208,228.9,219.5,238.7,243.3,242.2,239.4
VT,113.5,105.1,106.7,114.2,114.8,125.6,145.1,129.1,137.5,134.6,131,147.6,142.3,123.6,102.6,119.3,136.5,173.3,185
VA,281.7,291,291.7,278.2,275.5,283.4,283.7,272.8,257.8,230.8,214.2,197.6,191.5,197.8,198.4,199.6,219.8,210.4,204.2
WA,369.7,354.7,345.5,346.9,343.6,345.6,348.7,336.5,334.2,336.3,313.5,295.3,298.1,290,285.8,286.4,303.5,302.8,315.3
WV,316.5,279.6,233.9,255.4,281.9,273.9,281.2,276.8,275.9,305.2,301.2,296.3,320.1,305.2,316.4,347.5,362.7,361.2,299.9
WI,236.8,231,225,221.1,209.8,241.8,286.1,291.5,275.5,259.1,248.9,249.9,283.9,280.7,291.1,304.3,306.9,321.8,299
WY,266.5,257.6,273.4,261.7,229.9,230.3,253.8,257.1,249.7,219.7,197.9,219.4,201.3,207.8,195.4,221.6,244.7,234.6,213.8
