,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
PA,23.5,21.6,21,21.5,23.9,18,21.5,14.3,11.6,11.3,10.3,12.8,14.9,13.8,13.4,12.3,11,4,3.6, 
RI,50.7,48.1,44.3,40.2,35.5,21.2,25.8,22.5,22.2,22.3,15.9,14.8,14.9,13.6,12.3,10.5,9.1,4.3,4, 
SC,12.4,14.5,16.2,14.9,11,8,10,10.1,9.4,10.8,9.4,8.6,6.6,5.9,5.1,4.7,4.1,1.7,1.6, 
SD,10.6,10.5,10.8,10.1,9.7,8.1,9.4,9.5,8.9,9.3,8.3,8.3,8,7.5,7.2,6.9,7,3.5,3.4, 
TN,31,33.8,35.5,39,39.7,27.3,35,32.4,26.2,29.1,24.7,23.9,21.1,18.7,16.1,12.3,10,3.8,3.2, 
TX,20,19.8,18.8,17.7,13,8.4,7.8,7.6,5.7,5.2,4.6,4.3,3.9,3.3,2.9,2.5,2.3,1,0.9, 
UT,11.4,10.3,10.7,11.6,11.8,7.8,7.8,6.2,5.3,6.9,6.3,5.1,3.9,3.5,3.3,2.9,2.9,1.2,1.1, 
VT,30.9,29,26.7,25.1,24.2,14.3,21,21.1,14.4,12.4,10,10,10.6,11.5,10.2,9.3,9,4.5,3.8, 
VA,11.7,11.2,11.5,7.9,4.6,2.9,5.8,11.1,10,11.5,9.9,9.1,8.3,7.5,6.6,6,5.2,2.2,2.4, 
WA,30.2,29,27.5,27.2,27.2,18.7,23.5,23.9,22.4,26.5,24,20.4,17.5,15.1,12.8,10.2,8.9,3.6,3.4, 
WV,22.2,27.7,27.9,26.8,22.2,13,15.7,14.8,13,13.6,12.2,12.5,11.1,10.5,9.8,8.4,8.1,3.9,3.6, 
WI,8.6,9.4,10.5,11.4,12.1,8,8.3,8.2,8,8.7,9.4,11.1,10.5,11.1,11,8.7,6.8,2.8,2.6, 
WY,2.7,2.4,2,1.8,1.5,1.1,1.2,1.2,1.2,1.3,1.2,1.1,1.1,1.3,1.2,1.2,1.8,0.9,0.9, 
